,"Initial Coding Methodology, Before Any Reading",,,,,,,,,,,,,,,,,,,,,Post-reading coding,Post-reading coding,,,,,,,RR coding,
2017,SASO_Khaluf,Can a threshold mechanism with a limited robotic swarm cooperate to perform efficient edge detection within a dynamic environment?,Simulation,Simulation,Edge detection for robotic swarms,Distributed coordination,Level 4,Level 4,Positive,Robot agents,Robotics,Image edge detection,,"Partial (no code. However, algorithm and simulation tool used are detailed)",If reimplemented,various scenarios (images) using the same implementation,various scenarios (images) using the same implementation,No,No,No,4,Synthetic,Synthetic,N,Yes,algorithm,Parametric,N,N,Protocol,Policy
2017,SASO_ Jahan,Can correctness proofs be used to increase verification awareness by highlighting verification concerns within portional self-adaptive system adaptations?,Case-Study/Simulation,Simulation,Improve verification awareness within Self-Adaptive systems,Modelling,Level 3,Level 3,Neutral,Verification Awareness,General SAS,,,Yes (code available with detailed experiment steps),Yes,Adaption plans for verification,Adaption plans for verification,N/A,N/A,N/A,4,Private/Synthetic,Synthetic,N,Yes,Adapt plans (may influence the termination of a selected adaptation),Meta,N,N,N/A,N/A
2017,SASO_Birdsey,Which metrics are most suitable for identifying self-organisation and adaptability within complex adaptive systems?,Simulation/New framework,Simulation,Research/analysis framework,Research tool,N/A,N/A,Negative,Complex adaptive systems,Research tools,Observation frameworks,,"Partial (no code. However, observation tool and models are all detailed/referenced)",If reimplemented,Multiple CAS using the same observation tool,Multiple CAS using the same observation tool,Yes,No,No,7,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,SASO_Pitt,can interactional justice be used as a self-governing mechanism for self-organising systems?,Simulation,Simulation,Theoretical exploration,Distributed coordination,N/A,N/A,Positive,Self-Governance (consensus among agents),General SAS,,,Yes (motivation and algorithms are detailed within the paper),Yes,No,No,No,No,No,6,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,SASO_Paduraru,Can multi-level control mechanisms be used to model and assemble heterogeneous modules?,Simulation,Simulation,2-dimensional self-assembly,Modelling,N/A,N/A,Positive,Self-Assembly (module-based),General SAS,,,"Partial (no code. However, details given for models used)",No,No,No,No,No,No,3,Synthetic,Synthetic,N,Yes,Modules (defined components),Structural,N,N,N/A,N/A
2017,SASO_Disterhoft,Can skip graphs be used within P2P networks to reduce search times and expand search capabilities?,Simulation,Simulation,Multi-dimensional search,Performance,N/A,N/A,Positive,Distributed Hash Tables,Data storage,,,Yes (the methodology is detailed extensively in referenced paper and repeats a previous experiment ),Yes,Yes,Yes,No,"Yes (Existing alternative approach, CapSearch)",Yes,1,Public (referenced in a previous paper),Public,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,SASO_Christi,Can hierarchal delta-debugging be used to adapt a programs resource usage while maintaining core functions?,Real-world experiments,Real-world experiment,Program resource usage,Performance,Level 2/3,Level 2 / 3,Neutral,Resource utilisation,General SAS,,,"Yes (Used tools, program and test cases are referenced)",Yes,Yes,Yes,Yes,Yes (compared the described approach with an unaltered variant),Yes,4,Public (referenced in the paper),Public,N,Yes,Resource Usage (per program),Structural,N,N,Manual selection of 3 test cases,Policy
2017,SASO_Leeuwen,Can Wireless Power Transfer be solved as a Distributed Constraint optimization problem while maintaining an efficient and safe power transfer rate?,Real-world experiments,Real-world experiment,Power transfer,Modelling,Level 3/4,Level 3 / 4,Neutral,Wireless Power Transfer,Smartphones,New variation of CoCoA,,Yes (Algorithms are accessible and methodology is detailed),Yes,Yes,Yes,Yes,"Yes (ACLS, CoCoA WPT, DSA, Max-Sum and MCS-MGM with a centralized LP solve)",Yes,3,N/A,N/A,Y,Yes,Power transfer rate,Parametric,N,N,Machine Learning  (CoCoA_WPT),Learning
2017,SASO_Pianini,Can Euler integration be used to form self-stabilising sensor networks by improving target counting?,Simulation,Simulation,Sensor network accuracy,Other optimisation,Level 4,Level 4,Neutral,Sensor Networks,Robotics,,,Partial (detailed methodology),If reimplemented,Related work results,Related work results,No,No,No,5,N/A,N/A,N,Yes,Local count (used in collective counting),Parametric,N,Y,Protocol,Policy
2017,SASO_Lavoie,Can the topology manager be abstracted from Kademlia to provide a generalised overlay for topology management?,New framework,N/A,Routing table entries,Research tool,Level 4,Level 4,N/A,Distributed Hash Tables,Data storage,,,N/A,N/A,No,No,N/A,N/A,N/A,0,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,SEAMS_Moreno/Papadopoulos,Can Model-Based Predictive approaches improve the run-time performance for self-adaptive systems?,Simulation,Simulation,Self-adaption at runtime,Performance,Level 3/4,Level 3 / 4,Positive,Cloud Computing,Data centres,Model-Based Predictive Approaches,,"Yes (Clear methodology, accessible workload traces and, well-defined approaches )",Yes,Two MBP approaches (SWIM/RUBiS Simulation),Two MBP approaches (SWIM/RUBiS Simulation),No,No (compared two approaches to be used within the study),No,4,Public (SWIM),Public,N,Yes,Behaviour,Meta,N,N,Markov Decision Process,Learning
2017,SEAMS_Moreno/Strichman,Can Cross-Entropy methods reduce the latency of self-adaptation decisions?,Simulation,Simulation,Formation of a robot swarm,MAPE-K optimisation,Level 4,Level 4,Positive,Robot agents,Robotics,Cross-Entropy,,"Partial (detailed methodology, openly accessible simulation and, workload traces)",If reimplemented,Robot Swarm (DART) and SWIM/RUBiS simulation,Robot Swarm (DART) and SWIM/RUBiS simulation,No,No,No,4,Public (SWIM),Public,N,Yes,Robot Swarm Formation / Cloud Scaling,Structural,N,N,Markov Decision Process,Learning
2017,SEAMS_Barna,Can performance models of cloud computing workloads improve the quality of autonomic management systems adaptations?,Real-world experiments,Real-world experiment,Cloud container scaling (cluster elasticity),Other optimisation,Level 4,Level 4,Positive,Cloud Computing,Data centres,autonomic management systems,,"Yes (clear methodology with tools/environment used and, workloads defined with links. Code link is broken [algorithm description supplied])",Yes,Coupled and decoupled clusters (containers hold or lack dependencies),Coupled and decoupled clusters (containers hold or lack dependencies),Yes,No,No,4,Public (LEGIS and SAVI),Public,N,Yes,Cloud scaling (container count),Structural,Y,Y,Protocol (Scaling heat algorithm),Policy
2017,SEAMS_Iftikhar,Can an exemplar improve the research of self-adaption within IoT?,Real-world experiment/Simulation,Simulation/real,IoT (Network usage),Research tool,N/A,N/A,Positive,Research Tool,Research tools,,,"Yes (Code available, with referenced scenarios included within project website)",Yes,Comparison of self-adaptive and non-adaptive implementation,Comparison of self-adaptive and non-adaptive implementation,Yes,Yes,Yes,6,Public (custom scenarios for exemplar),Public,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,SEAMS_Sousa,Can temporal constraints be used to model dynamic software product line and improve the identification of valid configurations?,Case Study,Theoretical analysis,Modelling valid configuration constraints,Modelling,Level 3,Level 3,Positive (mostly),Cloud provisioning,Data centres,dynamic software product lines,Linear Temporal Logic,Yes (Code and case study are referenced with an expanded definition of the papers evaluation),Yes,Case study configurations compared,Case study configurations compared,No,No,No,1,Public (Heroku PaaS),Public,N,Yes,available reconfiguration operations,Parametric,N,N,Protocol,Policy
2017,SEAMS_Tahara,How can component aspect models and Maude improve verification efficiency for multiple steps within the dynamic evolution process?,Real-world experiments,Real-world experiment,model verification,Modelling,Level 3,Level 3,Neutral,Self-Adaptive Systems (able to be supply model),General SAS,,,"Partial (code is supplied and the dataset is referenced. However, defined experiments used a modified prototype)",Yes,No,No,Partial,No,No,0,Public (Tele Assistance System [TAS]),Public,N,Yes,System Behaviour,Meta ,Y,N,N/A,N/A
2017,SEAMS_Zhang,How can a Hadoop benchmark framework improve Hadoop based self - adaptive system research?,New framework,N/A,Research / experimentation framework,Research tool,N/A,N/A,Positive,Research Tool,Research tools,,,Yes (code and scenario are provided),Yes,No,No,Yes,No,No,1,Public (HiBench),Public,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,SEAMS_Shevtsov,Can goal transformation and controller synthesis allow changeable requirements and expand the requirement types available control theory approaches?,Real-world experiments,Real-world experiment,requirement/goal-based adaptation,Research tool,Level 3,Level 3,Positive,Various,Robotics,Control Theory,,Yes (code and evaluation materials used are provided),Yes,No,No,Yes,No,No,1,Public (Multiple referenced),Public,N,Yes,System requirements,Meta,N,N,Control Theory,Control theory
2017,SEAMS_Lloyd,which conditions and measurements of mental state are ideal for human - in - the - loop interactions to improve co-adaptive systems?,Real-world experiments,Real-world experiment,Theoretical exploration / co-adaptive systems,MAPE-K optimisation,Level 4,Level 4,Neutral,Human-Computer Interaction,General SAS,co -adaptive systems,Neural networks,No (No code or dataset link),No,Human - in - the - loop and no human variant,Human - in - the - loop and no human variant,Yes,No,No,2,Private,Private,N,No,Stock prediction engine (buy or sell using human or NN),Meta,N,N,Machine Learning (Unsupervised),Learning
2017,SEAMS_Krijt,"Can an SMT Solver based framework autonomously form ""intelligent ensembles"" and improve quality of the selection process of formations?",New framework,N/A,Dynamic architecture adaption (form component ensembles),MAPE-K optimisation,Level2/3,Level 2 / 3,Positive,Smart Cities,Internet of Things,,,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,N/A,N/A,N,Yes,Ensemble (formation of components),Structural,N,N/A,Set constraints (Initial user input),Policy
2017,SEAMS_Barbosa,Can the annotation of self-adaption execution traces for models @ runtime improve the verification of self-adaptive systems?,New framework,N/A,runtime verification,Modelling,Level 4,Level 4,Positive,Self-Adaptive Systems,General SAS,runtime models,,"Yes (code, annotated traces and used application examples are provided)",Yes,No,No,Yes,No,No,6,Public,Public,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2017,SEAMS_Riganelli,Can proactive libraries be used to detect and heal library misuses in Android applications with overhead equivalent to traditional libraries?,Real-world experiments,Real-world experiment,reduce library-based failures improving resource utilisation,Fault tolerance,Level 3/4,Level 3 / 4,Positive (mostly),Android applications/software libraries,Smartphones,,,Yes (clear methodology and all example applications referenced),Yes,With/without proactive libraries,With/without proactive libraries,Yes,Yes,Yes,2,Public,Public,N,Yes,Libraries available / Resource usage,Structural,Y,N,Policy,Policy
2017,SEAMS_Weisenburger,Can the ingestion of user-submitted quality demands enable Complex Event  Processing systems the ability to self adapt within dynamic environments?,Simulation,Simulation,Enable Complex Event Processing systems to adapt to dynamic environments,Modelling,Level 3,Level 3,Positive,Complex Event Processing systems,General SAS,,,No (No code),No,static & adaptive implementation,static & adaptive implementation,No,No (simulation comparison),No,9,Synthetic,Synthetic,N,Yes,System Behaviour,Meta,N,N,DSL / Policy,Policy
2017,SEAMS_Cailliau,Can the monitoring of probabilistic linear temporal logic assertions and up-propagation to adapt to a countermeasure with a desired satisfaction rate at runtime?,Simulation,Simulation,improve adaption of goals by performing obstacle resolution at runtime,MAPE-K optimisation,Level 4,Level 4,Positive (mostly),Requirements Engineering (goal-orientated),General SAS,,,Yes (Clearly defined methodology and implementation details with reference to simulation used),Yes,Flood detection system and an ambulance dispatching system,Flood detection system and an ambulance dispatching system,No,No,No,3,Public (Ambulance Dispatch System),Public,Y,Yes,CountermeasuresR23:S30 (System goal),Meta,N,N,Goal-Based (uses satisfaction rate for selection of current goal),Policy
2017,SEAMS_Pilgerstorfer,Can self-adaptive learning solve fully decentralized combinatorial optimization problems?,Simulation,Simulation,Self-Adaption,Distributed coordination,Level 4,Level 4,Positive,Smart cities,Internet of Things,,,Yes (code and scenarios provided),Yes,"Three alternative approaches, EPOS,  COHDA and Greedy","Three alternative approaches, EPOS,  COHDA and Greedy",Yes,Yes,Yes,3,Public (various scenario datasets),Public,N,Yes,System Behaviour (Plans),Meta,N,N,Multi-agent,MAS
2017,SEAMS_Silva,Can self-protection be achieved through the self-adaptation of role-based access control?,Real-world experiments,Real-world experiment,Threat Detection (user action),Security,Level 4,Level 4,Neutral,Role-based access control,Cyber-security,Self-Protecting,,"Partial (algorithms provided. However, datasets are not referenced)",No,Various scenarios (each measuring a system property),Various scenarios (each measuring a system property),Yes,No,No,1,Private,Private,N,Yes,User permissions/roles,Meta,N,N,Discrete-time Markov Chain,Learning
2017,SEAMS_Maggio,What challenges may be found through the comparison of different adaption strategies?,Real-world experiments,Real-world experiment,Self-Adaption Challenges,MAPE-K optimisation,N/A,N/A,Positive,Self-Adaptive Systems,General SAS,Video encoder,,Yes (code and dataset referenced),Yes,No,No,Yes,No,No,3,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,SEAMS_Pandey,What are the key problems currently existing within Hybrid planning?,New framework,N/A,Theoretical exploration,Research tool,N/A,N/A,Positive,Hybrid Planning,Research tools,Self-Adaptation,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N,N/A,N/A,N/A,N,N/A,N/A,N/A
2017,SEAMS_Jamshidi,Can Transfer-learning be used to learn a performance model from prior information?,Real-world experiments/Simulation,Simulation/real,reduce the cost of learning a model,Learning quality,N/A,N/A,Neutral,Transfer - learning,General SAS,,,Yes (approach detailed with example software referenced),Yes,Different application domains where transfer-learning may be applied,Different application domains where transfer-learning may be applied,No,No,No,12,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,SEAMS_Gerasimou,Can an exemplar improve the research of self-adaption within Unmanned Underwater Vehicles?,New framework,N/A,Research/analysis framework,Research tool,N/A,N/A,Positive,Research Tool,Research tools,Unmanned Underwater Vehicles,,Yes (code available),Yes,No,No,Yes,No,No,3,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Pfannemuller,Can the application of Dynamic Software Product Line context models simplify the required adaptation logic for planning reconfigurations?,Simulation,Simulation,reduce user-supplied information to perform self-adaptations,Modelling,Level 4,Level 4,Positive,Data Centers,Data centres,Context Feature Models,,"Partial (no code. However, the methodology is clear and dataset used is referenced)",If reimplemented,Static & adaptive implementation,Static & adaptive implementation,No,No,No,11,Public (Tasklet system),Public,N,Yes,Behavior,Structural,N,N,Policy,Policy
2017,ICAC_Zhao,Can the offline/online learning of adaptation rules improve the quality of proactive self-adaptation decisions?,Case Study/New framework,Theoretical analysis,Self - Adaptation (rule-based adaption),Learning quality,Level 4,Level 4,Neutral,Self-Adaptive Systems,General SAS,,,Yes (application used is referenced),Yes,No,No,No,No,No,16,Public (RUBiS),Public,N,Yes,Adaption Rules (initial supplied goals/thresholds),Meta,N,N,Reinforcement Learning,Learning
2017,ICAC_Sun,Can Linear latency models reduce the latency and increase the accuracy of stream analysis?,Real-world experiments,Real-world experiment,Optimize Spark Stream (latency/accuracy),Performance,Level 4,Level 4,Positive,Apache Spark,Data centres,,,"No (No code, private dataset)",No,No (only evaluating system components independently),No (only evaluating system components independently),Yes,No,No,4,Private,Private,N,Yes,Window and sampling size,Parametric,N,N,Protocol,Policy
2017,ICAC_Krupitzer,Can meta-adaption of adaptation logic provide a mechanism for self-improvement?,Case Study,Theoretical analysis,Add Self-Improvement (Self - Adaptive systems),MAPE-K optimisation,Level 4,Level 4,Positive,Self-Adaptive Systems,General SAS,Self-improvement,,"Yes (algorithms, dataset, and methodology are clearly described and referenced)",Yes,No (only evaluating system components independently),No (only evaluating system components independently),No,No,No,5,Public,Public,N,Yes,Adaption logic,Meta,N,N,Machine Learning (supervised),Learning
2017,ICAC_Chen,What effect does the suspension of tasks and heap size have on the reduction of out-of-memory errors?,Real-world experiments,Real-world experiment,Reduce out of memory errors,Fault tolerance,N/A,N/A,Neutral,Cloud Computing,Data centres,,,"Yes code, workload traces, and base implementation are available)",Yes,various workload traces/frameworks,various workload traces/frameworks,Yes,Yes,Yes,5,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Landauer/Bellman,What are the challenges for enabling Self-Awareness and the benefits of the potential solution of applying the Wrapping Infrastructure?,Theoretical case-study,Theoretical analysis,Framework for self-awareness experiments,Research tool,N/A,N/A,Positive,Self-Adaptive Systems,Research tools,Self-Aware Systems,,N/A,N/A,N/A,N/A,No,No,No,6,N/A,N/A,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Ma,Can the application of Q-learning improve portfolio scheduling through the use of historical workload information?,Real-world experiments,Real-world experiment,portfolio scheduling/resource utilization,Other optimisation,Level 4,Level 4,Positive,Data Centers,Data centres,Portfolio Scheduling,,No (No code),No,Static & adaptive implementation (with versions using altered system properties),Static & adaptive implementation (with versions using altered system properties),Yes,Yes,Yes,8,Synthetic,Synthetic,N,Yes,Scheduling policy,Parametric,N,N,Reinforcement Learning,Learning
2017,ICAC_Ingerson,How can interleaving independent bitmaps can improve the resource utilization of layer 3 caches?,Real-world experiments,Real-world experiment,Cache compression (resource utilization for bitmaps),Other optimisation,N/A,N/A,Positive,Cache Compression,Computer vision,,,"Yes (Clear methodology, public dataset and referenced code)",Yes,Static & adaptive implementation (with versions using altered system properties),Static & adaptive implementation (with versions using altered system properties),Yes,Yes,Yes,0,Private,Private,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Poghosyan,Which components analysis algorithm (PCA/ICA) efficiently selects metrics for the compression of Time Series Databases?,Real-world experiments,Real-world experiment,compression of Time-series databases,Learning quality,N/A,N/A,Neutral,Databases,Data storage,Compression,,"Partial (algorithms, dataset, and methodology are detailed. However, same dataset is unavailable)",No,two non-adaptive approaches ICA/PCA,two non-adaptive approaches ICA/PCA,Yes,Yes,Yes,2,Private,Private,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Zheng,"Can the use of recursive prediction algorithms, estimate idle session times, and improve joint energy savings?",Real-world experiments,Real-world experiment,energy consumption (users with both smartphones & desktops),Energy efficiency,Level 4,Level 4,Positive,Smartphones,Smartphones,,,No (No code),No,Briefly compared with VM migration,Briefly compared with VM migration,Yes,No,No,2,Private,Private,N,Yes,Migration point,Structural,N,N,Protocol,Policy
2017,ICAC_Rosalie,Can Chaotic Dynamics and Ant Colony Optimisation maximize the area coverage and network connectivity of robotic swarms?,Simulation,Simulation,Network connectivity (robotic swarms),Distributed coordination,Level 4,Level 4,Positive,Robotic Swarms,Robotics,,,Yes (Algorithm is detailed and simulation environment referenced),Yes,Various models of the adaptive implementation,Various models of the adaptive implementation,No,No,No,11,Public,Public,N,Yes,Robotic Swarm Formation,Structural,N,Y,Multi-agent / Swarm Intelligence,MAS
2017,ICAC_Albassam,Can a decentralized framework provide improved self - composition and self-healing for Component-Based software architectures?,New Framework,N/A,Research/analysis framework,Research tool,N/A,N/A,Positive,Self - Adaptive Systems,Research tools,Self-Healing,,N/A,N/A,Self-healing and Self-configuration scenario,Self-healing and Self-configuration scenario,Yes,No (only two scenarios),No,2,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_ Hosseini,Can Deep-Learning improve high-level feature selection from EEG and rs-fMRI data within edge computing frameworks?,Real-world experiments,Real-world experiment,improve epilepsy seizure localization (via edge computing deep-learning),Learning quality,Level 2,Level 2,Positive,Edge Computing,Other,Deep-learning,Medical big data,Yes (Algorithms and topology detailed with referenced dataset),Yes,No,No,Yes,No,No,39,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Javadi,Can the user-side inference of resource contention reduce tail-latency within cloud environments?,Real-world experiments,Real-world experiment,Load Balancing (reduced tail latency),Performance,Level 4,Level 4,Positive,Cloud Computing,Data centres,,,"Partial (no code. However, detailed setup and publically available datasets)",If reimplemented,various real-system approaches,various real-system approaches,Yes,Yes,Yes,24,Public,Public,N,Yes,Scheduling Policy,Parametric ,N,N,Machine Learning (Supervised) / Protocol,Learning
2017,ICAC_Ghahremani,Can utility-driven adaptation improve available optimal adaptation decisions while remaining scalable for dynamic software architectures?,Simulation,Simulation,Self-Healing (rule-based optimal adaptation selection),MAPE-K optimisation,Level 4,Level 4,Neutral,Self - Adaptive Systems,General SAS,Self-Healing,,"Partial (No code referenced. However, approach is detailed with simulator referenced)",If reimplemented,"Static, solver-based and the proposed approach","Static, solver-based and the proposed approach",No,No (Simulation),No,16,Public (RUBiS),Public,Y,Yes,Behavior,Meta,N,N,Policy,Policy
2017,ICAC_Burger,Can the adaptation of MCU and FPGA's provide an elastic IoT node capable of lowering power consumption or improving local computation?,Real-world experiments,Real-world experiment,IoT (reduce power consumption and improve computation capabilities),Energy efficiency,Level 3,Level 3,Positive,IoT,Internet of Things,,,"No (prototype, no code or dataset provided)",No,No,No,Yes,No,No,5,N/A (used library calls),N/A,N,Yes,Hardware (MCU and FPGA) / behavior (FPGA configuration files),Parametric ,N,N,Protocol,Policy
2017,ICAC_Mishra,Can machine learning predict interference within scheduling decisions and improve the quality of future scheduling decisions?,Real-world experiments,Real-world experiment,improve quality of co-located scheduling decisions,Performance,Level 4,Level 4,Positive,Data centres,Data centres,co-scheduling,,"Yes (algorithms provided, a clear methodology and public datasets)",Yes,"own approach, Activity vectors, Random and oracle","own approach, Activity vectors, Random and oracle",Yes,Yes,Yes,25,Public (benchmarks),Public,N,Yes,Scheduling Policy,Parametric,N,N,Machine Learning (regularization),Learning
2017,ICAC_Wang,How will cache memory hierarchies affect the performance of artistic style transfer on a CPU-mGPU architecture?,Real-world experiments,Real-world experiment,Artistic Style Transfer/cache-memory hierarchies,Performance,N/A,N/A,Positive,Machine Learning Theory/application,Other,Cache management,,No (no code),No,various hardware architectures using the same approach,various hardware architectures using the same approach,Yes,No,No,7,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Maroulis,Can Dynamic Voltage & Frequency Scaling minimize the energy usage of distributed frameworks?,Real-world experiments,Real-world experiment,Energy consumption of spark applications,Energy efficiency,N/A,N/A,Positive (mostly),Apache Spark (distributed frameworks),Data centres,,,"Yes (the algorithm is available, datasets are public and application examples are included with underlying framework)",Yes,"Existing DVFS approaches (optimal, Greedy, Energy, Time and Optimal)","Existing DVFS approaches (optimal, Greedy, Energy, Time and Optimal)",Yes,Yes (alternative approaches on the same framework),Yes,8,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Chen,Can backpressure techniques reduce the overhead of checkpointing within stream processing applications?,Real-world experiments,Real-world experiment,Overhead of streaming applications (checkpointing),Performance,N/A,N/A,Positive,Apache Spark (Spark Streaming),Data centres,,,"Partial (Algorithms are briefly covered with no code. However, the underlying framework and dataset used are available)",If reimplemented,"PID controller, naïve (basic) approach and proposed approach with 4 applications","PID controller, naïve (basic) approach and proposed approach with 4 applications",Yes,Yes (alternative approaches on the same framework),Yes,3,Public (Volume Weighted Average Price),Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Lee,Can Fuzzy-logic rules exploit a possible concave downward relationship between Aggregate CPU usage and concurrent jobs to reduce execution time?,Real-world experiments,Real-world experiment,container applications (resource utilisation / execution time),Performance,Level 4,Level 4,Positive,Apache Hadoop (distributed frameworks),Data centres,,,"Partial (no code referenced. However, detailed approach with referenced workloads and underlying framework)",Yes,Approach and capacity scheduler (two variants with altered parameters),Approach and capacity scheduler (two variants with altered parameters),Yes,Yes (alternative approaches on the same framework),Yes,6,Public (SWiM),Public,N,Yes,Concurrent job count,Parametric,N,N,Protocol,Policy
2017,ICAC_ Alvares,How can modularity be achieved within the Ctrl-F Domain-Specific Language?,Real-world experiments,Real-world experiment,"improve component reuse, decrease combinatorial explosion within Ctrl-F",Research tool,Level 4,Level 4,Positive,Self-Adaptive Systems (Domain Specific Languages),Research tools,,,Yes (algorithm and dataset referenced),Yes,A Monolithic approach and proposed modular approach,A Monolithic approach and proposed modular approach,Yes,No,No,4,Public (RUBiS),Public,N,Yes,Behaviour (components),Meta,N,N,DSL / Policy,Policy
2017,ICAC_Brody,which models can learn knowledge of agency and knowledge of ownership?,Real-world experiments,Real-world experiment,"Theoretical exploration, self-model agents",Modelling,N/A,N/A,Neutral,Machine Learning Theory,General SAS,,,Yes (each configuration is referenced with a public example),Yes,between 5 available configurations,between 5 available configurations,Yes,No,No,2,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Adiththan,How can the autonomic management of a Cruise Control system improve QoS performance?,Simulation,Simulation,Reduce Cruise Control latency (Observe -Decide Act steps),Performance,N/A,N/A,Positive,Cruise Control,Self-Driving Cars,,,"Partial (no code. However, clear details on parameters used and simulation referenced)",If reimplemented,Base controller and the proposed approach,Base controller and the proposed approach,No,No,No,1,Public,Public,N,Yes,Parameters (altering cruise control behavior),Parametric,N,N,N/A,N/A
2017,ICAC_Landauer,Which algorithms are best suited for avoiding get stuck theorems within Self-Adaptive Systems?,Theoretical case-study,Theoretical analysis,Retain computable knowledge structures (simplify complex self-adaptive systems),Research tool,N/A,N/A,Positive,Self-Adaptive Systems,General SAS,Knowledge Refactoring,,N/A,N/A,N/A,N/A,No,N/A,N/A,6,N/A,N/A,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Nguyen,Can a micro-service approach improve the performance and scalability of scientific workflows?,Real-world experiments,Real-world experiment,resource utilization / workflow execution,Performance,Level 4,Level 4,Positive,Cloud Computing,Data centres,Workflow composition,,"Yes (detailed system architecture, methodology and referenced workloads used)",Yes,two adaptation approaches and non-adaptive variant,two adaptation approaches and non-adaptive variant,Yes,No (only adaption layer changed during experiments),No,17,Public (LIGO & MDP),Public,N,Yes,Resource Usage (per workload),Structural,N,N,Machine Learning (Unsupervised),Learning
2017,ICAC_Hale,Can automatic hybridization expand the self-adaption capabilities of Hybrid Runtime models?,Real-world experiments,Real-world experiment,Self-Adaptive Systems (provide adaptive kernels at runtime),MAPE-K optimisation,Level 3,Level 3,Neutral,Self-Assembly,General SAS,runtime systems,,"Partial (code to be made available, benchmarks publically available)",No,"Native, virtual and proposed approach","Native, virtual and proposed approach",Yes,Yes,Yes,7,Public (Computer Langauge Benchmarks Game),Public,N,Yes,Behavior,Meta,N,N,Protocol,Policy
2017,ICAC_Wang,Can the analysis of job dependencies and opportunistic network bandwidth considerations improve data locality within distributed frameworks?,Real-world experiments,Real-world experiment,Task Scheduling (data locality),Other optimisation,Level 4,Level 4,Positive,Distributed Frameworks,Data centres,,,"Yes (algorithm provided, underlying framework and workloads referenced",Yes,"the proposed approach, Fair Scheduler and shuffleWatcher","the proposed approach, Fair Scheduler and shuffleWatcher",Yes,Yes,Yes,0,Public (Three Benchmarks),Public,N,Yes,Scheduling Policy,Parametric ,N,N,Protocol,Policy
2017,ICAC_Malla,Can data centre tenants be incentivized to reduce power consumption through real-time pricing mechanisms?,Simulation,Simulation,Datacenter energy consumption,Energy efficiency,N/A,N/A,Positive,Data Centers,Data centres,,,Yes (algorithm defined with public workload traces),Yes,No,No,No,No,No,5,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Brataas,Which metrics provide an increased understanding of scalability within Cloud Software Services?,Real-world experiments,Real-world experiment,Cloud Scalability,Other optimisation,N/A,N/A,Neutral,Cloud Computing,Data centres,Scalability,,"Partial (no code. However, datasets and underlying system /measurements used are detailed)",If reimplemented,comparison of collected metrics for Openstack and Amazon Web service,comparison of collected metrics for Openstack and Amazon Web service,Yes,Yes,Yes,13,Public,Public,N,Yes,N/A,N/A,N,N,N/A,N/A
2017,ICAC_Li,Can the analysis of app usage improve the quality of recovery decisions within smartphones?,Real-world experiments,Real-world experiment,Checkpointing (Smartphone applications),Fault tolerance,Level 4,Level 4,Positive,Smartphones,Smartphones,,,No (no code and explanations are too brief),No,"The proposed approach, MFU,MRU and Oracle","The proposed approach, MFU,MRU and Oracle",Yes,Yes,Yes,0,Private,Private,N,Yes,Application state,Parametric,N,N,Protocol,Policy
2017,ICAC_Lalanda,Can the properties of Self-Awareness be applied to pervasive computing platforms?,Simulation,Simulation,Self-Awareness for context management within Pervasive Computing,MAPE-K optimisation,Level 4,Level 4,Neutral,Pervasive Computing,Internet of Things,Self-Awareness,,Yes (code provided),Yes,Compared three use cases,Compared three use cases,No,No,No,7,Private,Private,N,Yes,Behaviour (Components),Structural,N,N,DSL / Policy,Policy
